9.999954040940637334e-01,4.423007049299846587e-06,1.728988870978912327e-07
9.999951306992745925e-01,4.519481556278917045e-06,3.498191690698850835e-07
9.999948573434502830e-01,4.612058118533469155e-06,5.305984313210416594e-07
9.999945840265845876e-01,4.700892659405724454e-06,7.150807560623803875e-07
9.999943107486722882e-01,4.786134865303430451e-06,9.031164624386094165e-07
9.999940375097078338e-01,4.867928435177230139e-06,1.094561857050746474e-06
9.999934652731021778e-01,5.245447903366667453e-06,1.289278994457835832e-06
9.999928931945830657e-01,5.607708506202008728e-06,1.499096910592502708e-06
9.999923212741063105e-01,5.955320642903636446e-06,1.723405250840583082e-06
9.999917495116267263e-01,6.288870296710432659e-06,1.961618076556728413e-06
9.999909050184382364e-01,6.881808673429084368e-06,2.213172888425145906e-06
9.999899215258581942e-01,7.590028906574063662e-06,2.488445235362309077e-06
9.999889384047950802e-01,8.269548813463548223e-06,2.792046391625271624e-06
9.999876831163155844e-01,9.194055340370963140e-06,3.122828344163813519e-06
9.999864026530972394e-01,1.010675634504819944e-05,3.490590557778652010e-06
9.999848506115156521e-01,1.125452767275289370e-05,3.894860811580579259e-06
9.999828882790836593e-01,1.276667899783510422e-05,4.345041918490695211e-06
9.999809046800210988e-01,1.423961090051509614e-05,4.855709078404099142e-06
9.999786509935305601e-01,1.592371295497968411e-05,5.425293514424702683e-06
9.999761021980068110e-01,1.783555996046468607e-05,6.062242032623890759e-06
9.999731406082560392e-01,2.008372731291139523e-05,6.775664431042478303e-06
9.999696152789976367e-01,2.280570747886390357e-05,7.579013523558933130e-06
9.999658246113599658e-01,2.568414681728823279e-05,8.491241822713489307e-06
9.999612716532384482e-01,2.920973906602609887e-05,9.518607695405018415e-06
9.999560857366852629e-01,3.322726605663880940e-05,1.068699725804606284e-05
9.999501516516537958e-01,3.783226044592458544e-05,1.201608790031161725e-05
9.999433543266610380e-01,4.311629502080817632e-05,1.352937831814859830e-05
9.999356003849083629e-01,4.914558497255920030e-05,1.525403011898092955e-05
9.999268579706118709e-01,5.592217587036370029e-05,1.721985351788329519e-05
9.999166119080937776e-01,6.393135135358328047e-05,1.945674055269784348e-05
9.999051813982240411e-01,7.280460716900915142e-05,2.201399460684117293e-05
